puuid,user,tag,hs_percent,body_percent,leg_percent,s_damage_per_round,s_kd_ratio,s_hs_percent,s_win_percent,s_kast_percent,s_dd_round,s_acs,s_kad_ratio,s_kills_per_round,deaths_per_game,kills_per_game,assists_per_game,first_bloods_per_game,flawless_rounds_per_game,aces_per_game,smurf_label
42ad8dcb-8649-5584-b365-6e8606d9bea3,Miss her,daisy,28.3,67.4,4.2,136.5,0.91,31.9,49.5,67.3,-13.0,207.7,1.19,0.7,16.47642857142857,14.97122448979592,4.697448979591837,2.3436734693877552,0.7172448979591837,0.020204081632653,normal player
7a7b2939-0ade-5937-a424-bafeaf04949d,jeezy,icey,27.3,69.0,3.7,169.5,1.18,25.0,54.2,70.0,29.0,246.9,1.44,0.9,14.7695,17.4795,3.794,2.6930625000000004,0.88075,0.033875,suspicious
6f4e93ef-2616-565c-8bb1-1d68f52ead52,baby,g80,36.5,61.7,1.8,131.0,0.88,36.5,50.0,67.4,-19.0,197.5,1.09,0.7,17.055555555555557,15.0,3.6666666666666665,1.7777777777777777,0.8333333333333334,0.0,normal player
637641f2-3482-5b2d-bb1b-5595dfce2f16,MIBR Bruno,33333,17.6,73.3,9.1,152.7,1.13,18.0,42.0,68.5,22.0,234.1,1.39,0.8,14.54,16.38,3.84,2.7,0.52,0.02,suspicious
ebb236ba-f1eb-5569-9b52-9c9f40253a7d,JpNava,NA1,19.9,72.1,8.0,125.4,0.87,18.6,43.8,67.0,-15.0,195.9,1.2,0.7,15.48642857142857,13.499785714285713,5.1465,2.0648571428571425,0.6569999999999999,0.0156428571428571,normal player
cac892e6-c9af-5210-a15c-0dc953022de0,Luv,3045,19.1,74.5,6.4,144.8,0.84,18.3,44.0,67.2,-16.0,216.8,1.13,0.7,18.214166666666667,15.225833333333332,5.445,2.5391666666666666,0.7241666666666666,0.0183333333333333,normal player
d318d4bd-5d26-5e38-b360-ed822c42c777,AntMann,6969,15.1,74.8,10.2,126.2,0.87,15.1,50.0,67.8,-16.0,193.2,1.21,0.7,16.0,13.9,5.4,2.1,1.2,0.0,normal player
30c0b652-d2f5-5c81-b934-439c2b8ed053,rezimine,vora,20.5,75.1,4.5,130.6,0.89,18.6,50.9,67.0,-12.0,192.8,1.22,0.7,15.797851851851853,14.025777777777778,5.221962962962963,1.658962962962963,0.640962962962963,0.0,normal player
c2633d86-99d8-530a-b6a4-26761c676b35,vevo,7979,37.1,57.6,5.4,167.0,1.14,34.3,49.7,70.2,23.0,247.7,1.37,0.9,15.974164705882352,18.155117647058823,3.695341176470589,3.3796,0.8419764705882353,0.0233882352941176,most likely smurf
ee5e87f3-8145-5fc3-af43-19a44e2afdd5,Salem,0000,22.6,72.6,4.8,145.0,0.86,22.6,0.0,56.0,-14.0,220.9,1.1,0.7,15.37329069767442,15.56213953488372,5.044116279069767,2.01281015037594,0.7458750000000001,0.0202020408163265,normal player
89266a50-e870-5b82-a52e-19783554a86b,paulleewhirl,1,15.0,76.8,8.2,126.3,0.89,15.0,27.3,68.6,-1.0,186.5,1.28,0.6,15.288,13.559,6.006,1.638,0.546,0.091,normal player
1b14d596-d344-5f95-b027-d87009e77c3b,volcom78990,4567,31.8,65.0,3.2,157.7,1.12,29.3,52.8,75.5,16.0,239.9,1.42,0.8,15.43384615384615,17.253415384615383,4.7357538461538455,2.282584615384615,0.7391999999999999,0.0406153846153846,suspicious
d086eaa3-f830-5e90-a3a6-47366bda4391,Vonsonn,NA1,17.2,77.1,5.7,143.1,1.07,16.5,52.2,73.8,13.0,213.3,1.49,0.7,14.067092783505156,15.02498969072165,5.951876288659794,1.5821443298969071,0.7103505154639176,0.0215257731958762,normal player
461fcca7-3a89-5d4d-9c7e-abe7e6a8a249,ChickenNoodle,yummy,26.7,70.5,2.8,161.0,1.4,27.1,45.8,76.2,42.0,237.4,1.66,0.9,13.823272727272728,19.31927272727273,3.664,1.9152727272727272,1.0825454545454545,0.0,most likely smurf
fb5548ff-4314-52f7-9068-83289ff4c8c0,SnazzyTuxedo,5633,19.0,72.4,8.6,125.1,0.97,19.0,58.8,77.7,2.0,186.9,1.63,0.6,12.7008,12.2892,8.4084,1.1760000000000002,0.7056000000000001,0.0,normal player
34967d7a-3ba5-5cac-a4a4-be8ec4b9b24f,beanie,143,29.0,63.1,7.8,135.7,0.99,25.7,42.9,71.7,-8.0,212.8,1.43,0.7,15.546142857142856,15.403142857142855,6.761857142857142,1.756857142857143,0.858,0.0204285714285714,normal player
81fb26c6-6696-5e19-8fdb-78f7548a7ea1,Explicit,1001,14.3,78.4,7.3,143.9,0.88,12.4,52.4,72.6,-8.0,216.4,1.35,0.7,17.17290909090909,15.148363636363635,8.074363636363636,1.881636363636364,0.9289090909090908,0.0476363636363636,normal player
